"date","total","influenza_a","influenza_b"
2014-03-01,382,100,282
2014-03-02,174,52,122
2014-03-03,436,114,322
2014-03-04,353,77,276
2014-03-05,248,54,194
2014-03-06,243,47,196
2014-03-07,250,58,192
2014-03-08,254,40,214
2014-03-09,105,27,78
2014-03-10,394,85,309
2014-03-11,293,51,242
2014-03-12,272,43,229
2014-03-13,195,28,167
2014-03-14,251,36,215
2014-03-15,212,37,175
2014-03-16,97,14,83
2014-03-17,367,47,320
2014-03-18,247,42,205
2014-03-19,187,27,160
2014-03-20,169,28,141
2014-03-21,58,11,47
2014-03-22,186,28,158
2014-03-23,50,9,41
2014-03-24,222,39,183
2014-03-25,129,23,106
2014-03-26,132,16,116
2014-03-27,126,29,97
2014-03-28,90,16,74
2014-03-29,96,18,78
2014-03-30,44,10,34
2014-03-31,122,27,95
2014-04-01,76,23,53
2014-04-02,63,9,54
2014-04-03,55,7,48
2014-04-04,65,8,57
2014-04-05,51,9,42
2014-04-06,22,5,17
2014-04-07,75,8,67
2014-04-08,56,5,51
2014-04-09,34,4,30
2014-04-10,45,8,37
2014-04-11,31,4,27
2014-04-12,49,7,42
2014-04-13,20,4,16
2014-04-14,52,6,46
2014-04-15,43,1,42
2014-04-16,40,2,38
2014-04-17,36,5,31
2014-04-18,35,9,26
2014-04-19,35,10,25
2014-04-20,11,1,10
2014-04-21,37,4,33
2014-04-22,33,1,32
2014-04-23,30,4,26
2014-04-24,23,6,17
2014-04-25,25,5,20
2014-04-26,21,5,16
2014-04-27,11,0,11
2014-04-28,25,4,21
2014-04-29,5,0,5
2014-04-30,21,6,15
2014-05-01,13,1,12
2014-05-02,22,6,16
2014-05-03,3,0,3
2014-05-04,10,1,9
2014-05-05,6,0,6
2014-05-06,1,1,0
2014-05-07,6,0,6
2014-05-08,4,0,4
2014-05-09,11,6,5
2014-05-10,4,2,2
2014-05-11,0,0,0
2014-05-12,6,0,6
2014-05-13,0,0,0
2014-05-14,2,1,1
2014-05-15,1,1,0
2014-05-16,2,0,2
2014-05-17,0,0,0
2014-05-18,0,0,0
2014-05-19,3,1,2
2014-05-20,1,0,1
2014-05-21,2,0,2
2014-05-22,1,1,0
2014-05-23,0,0,0
2014-05-24,1,1,0
2014-05-25,0,0,0
2014-05-26,0,0,0
2014-05-27,1,0,1
2014-05-28,0,0,0
2014-05-29,0,0,0
2014-05-30,0,0,0
2014-05-31,1,1,0
2014-06-01,0,0,0
2014-06-02,0,0,0
2014-06-03,1,1,0
2014-06-04,1,0,1
2014-06-05,1,1,0
2014-06-06,0,0,0
2014-06-07,0,0,0
2014-06-08,1,1,0
2014-06-09,0,0,0
2014-06-10,0,0,0
2014-06-11,0,0,0
2014-06-12,0,0,0
2014-06-13,1,1,0
2014-06-14,0,0,0
2014-06-15,1,1,0
2014-06-16,2,2,0
2014-06-17,0,0,0
2014-06-18,0,0,0
2014-06-19,1,1,0
2014-06-20,0,0,0
2014-06-21,0,0,0
2014-06-22,1,1,0
2014-06-23,0,0,0
2014-06-24,0,0,0
2014-06-25,0,0,0
2014-06-26,0,0,0
2014-06-27,0,0,0
2014-06-28,0,0,0
2014-06-29,0,0,0
2014-06-30,0,0,0
2014-07-01,1,0,1
2014-07-02,0,0,0
2014-07-03,0,0,0
2014-07-04,0,0,0
2014-07-05,0,0,0
2014-07-06,0,0,0
2014-07-07,0,0,0
2014-07-08,0,0,0
2014-07-09,0,0,0
2014-07-10,0,0,0
2014-07-11,0,0,0
2014-07-12,0,0,0
2014-07-13,0,0,0
2014-07-14,0,0,0
2014-07-15,1,1,0
2014-07-16,0,0,0
2014-07-17,0,0,0
2014-07-18,0,0,0
2014-07-19,0,0,0
2014-07-20,0,0,0
2014-07-21,0,0,0
2014-07-22,0,0,0
2014-07-23,0,0,0
2014-07-24,1,1,0
2014-07-25,0,0,0
2014-07-26,0,0,0
2014-07-27,0,0,0
2014-07-28,0,0,0
2014-07-29,1,1,0
2014-07-30,0,0,0
2014-07-31,0,0,0
2014-08-01,2,2,0
2014-08-02,0,0,0
2014-08-03,0,0,0
2014-08-04,0,0,0
